,Ticket_Frequency,Fare 13.5+,Known family/ticket survived %,Title_Miss,Title_Mr,Title_Mrs,DeckBin_DE,DeckBin_unknown_T,Pclass_1,Pclass_2,Pclass_3,Age Bin_-4,Age Bin_11-24,Age Bin_24-32,Age Bin_32-42,Age Bin_42+
Ticket_Frequency,1.0,0.08287934978033612,0.03203041604585258,0.10933964027070932,-0.30089212822966527,0.1090706539524035,-0.016961639928697207,-0.09787912866944332,0.09778634283249198,-0.0453556507165293,-0.047429252548280544,0.21483100450152487,-0.020281968107446854,-0.13706520891529567,-0.011991745932883758,-0.04529472453185384
Fare 13.5+,0.08287934978033612,1.0,0.25621197055937533,-0.014645062616234442,-0.07035137355242496,0.164199397553651,0.38133668278207294,-0.7390592012712428,0.9358040803274967,-0.21234835149774137,-0.635630915177295,-0.09489615959019992,-0.16505173719635596,-0.13158035684230962,0.0471721371844053,0.4047095623541573
Known family/ticket survived %,0.03203041604585258,0.25621197055937533,1.0,0.05527338907423298,-0.09571857663931921,0.06453531086869332,0.141706307303647,-0.26723479719729526,0.2615259699939549,0.05234513405192654,-0.2691948968450642,0.02924888424425069,-0.09673742030119468,-0.031145453214635098,0.021878996250675475,0.11909323237991687
Title_Miss,0.10933964027070932,-0.014645062616234442,0.05527338907423298,1.0,-0.6132419093503291,-0.2140779644924828,-0.0041749444745715954,-0.0032203655805498037,-0.01387920083247175,-0.022679391971115164,0.03060037399027148,0.1382338710338766,0.2636782426302051,-0.1362430239656641,-0.10451488427092274,-0.1821840952445884
Title_Mr,-0.30089212822966527,-0.07035137355242496,-0.09571857663931921,-0.6132419093503291,1.0,-0.519656252960178,-0.05029827860600156,0.11523082596594975,-0.06580872296196703,-0.02171506217166275,0.07474181905314065,-0.2506288861737205,-0.11039368487395532,0.20018443250377496,0.08169365262679278,0.05640535679523295
Title_Mrs,0.1090706539524035,0.164199397553651,0.06453531086869332,-0.2140779644924828,-0.519656252960178,1.0,0.09052255433198898,-0.17698554637557978,0.15434678595234108,0.06467244597654986,-0.1865635466605959,-0.0874925881238811,-0.09839071745066845,-0.04067527403678622,0.06725541708256395,0.18463733524802597
DeckBin_DE,-0.016961639928697207,0.38133668278207294,0.141706307303647,-0.0041749444745715954,-0.05029827860600156,0.09052255433198898,1.0,-0.49577357997371824,0.3737080899204227,-0.06314993520488252,-0.2715833466290904,-0.05481092589383682,-0.08880892819378948,-0.05526217268311439,0.02922360298568592,0.1809315825245524
DeckBin_unknown_T,-0.09787912866944332,-0.7390592012712428,-0.26723479719729526,-0.0032203655805498037,0.11523082596594975,-0.17698554637557978,-0.49577357997371824,1.0,-0.774725639068227,0.17574917923513844,0.5262601381494455,0.01768107218276091,0.14096707314812884,0.11993408810231818,-0.0655808297569271,-0.2868714700760233
Pclass_1,0.09778634283249198,0.9358040803274967,0.2615259699939549,-0.01387920083247175,-0.06580872296196703,0.15434678595234108,0.3737080899204227,-0.774725639068227,1.0,-0.2965260412344535,-0.6221717617743668,-0.09060208028774998,-0.1770173541401758,-0.1557886445788005,0.07062354231461221,0.41936851920733237
Pclass_2,-0.0453556507165293,-0.21234835149774137,0.05234513405192654,-0.022679391971115164,-0.02171506217166275,0.06467244597654986,-0.06314993520488252,0.17574917923513844,-0.2965260412344535,1.0,-0.5631803952755599,0.03591232432802388,-0.028845173399066802,0.026746815581304775,0.029514795217644687,-0.03079251499040356
Pclass_3,-0.047429252548280544,-0.635630915177295,-0.2691948968450642,0.03060037399027148,0.07474181905314065,-0.1865635466605959,-0.2715833466290904,0.5262601381494455,-0.6221717617743668,-0.5631803952755599,1.0,0.04895423748324274,0.17680984995270227,0.1128702484127468,-0.08530166019540443,-0.3376159442223985
Age Bin_-4,0.21483100450152487,-0.09489615959019992,0.02924888424425069,0.1382338710338766,-0.2506288861737205,-0.0874925881238811,-0.05481092589383682,0.01768107218276091,-0.09060208028774998,0.03591232432802388,0.04895423748324274,1.0,-0.13089232274373397,-0.1270054655759849,-0.0985724028591702,-0.09308519952822476
Age Bin_11-24,-0.020281968107446854,-0.16505173719635596,-0.09673742030119468,0.2636782426302051,-0.11039368487395532,-0.09839071745066845,-0.08880892819378948,0.14096707314812884,-0.1770173541401758,-0.028845173399066802,0.17680984995270227,-0.13089232274373397,1.0,-0.39395839113830394,-0.30576184312163956,-0.28874108117014624
Age Bin_24-32,-0.13706520891529567,-0.13158035684230962,-0.031145453214635098,-0.1362430239656641,0.20018443250377496,-0.04067527403678622,-0.05526217268311439,0.11993408810231818,-0.1557886445788005,0.026746815581304775,0.1128702484127468,-0.1270054655759849,-0.39395839113830394,1.0,-0.296682222662254,-0.2801668934909658
Age Bin_32-42,-0.011991745932883758,0.0471721371844053,0.021878996250675475,-0.10451488427092274,0.08169365262679278,0.06725541708256395,0.02922360298568592,-0.0655808297569271,0.07062354231461221,0.029514795217644687,-0.08530166019540443,-0.0985724028591702,-0.30576184312163956,-0.296682222662254,1.0,-0.21744516086570206
Age Bin_42+,-0.04529472453185384,0.4047095623541573,0.11909323237991687,-0.1821840952445884,0.05640535679523295,0.18463733524802597,0.1809315825245524,-0.2868714700760233,0.41936851920733237,-0.03079251499040356,-0.3376159442223985,-0.09308519952822476,-0.28874108117014624,-0.2801668934909658,-0.21744516086570206,1.0
