,Log,KNN 8,SVM rbf,RF 7,ET 5,XGB
0,0.9762564249613579,0.875,0.9182153889935327,0.9807714557348269,0.9448302503205976,0.9774911
1,0.061141347091795306,0.0,0.11163377854253907,0.06877663058628053,0.08601066719659405,0.02200824
2,0.3030490729025368,0.625,0.20056915902138278,0.34945872088441216,0.387030176251284,0.14698493
3,0.1245105401780442,0.0,0.13897698216483592,0.016487900236456028,0.09213845083547925,0.038619637
4,0.7762153607610573,1.0,0.8222295509857191,0.9358282491228274,0.8023274356628001,0.9171619
5,0.9044498179725418,1.0,0.8618099799035597,0.9502277482399646,0.8741462300949311,0.92774963
6,0.5647066745976504,0.75,0.7994278514549535,0.8576817112534083,0.7739475738159218,0.9080324
7,0.8031529644021448,1.0,0.8535980899393082,0.9573120207884822,0.9188145410209155,0.91857827
8,0.1663879951606384,0.375,0.18270105103509765,0.011351973516679398,0.10533153104205731,0.045969307
9,0.16460366989188502,0.125,0.1491257338659606,0.19667554200240137,0.09213845083547925,0.0689162
10,0.08385159636832662,0.125,0.13313295612131504,0.0028838014485073307,0.013005928853754942,0.0028232336
11,0.14779003077363273,0.625,0.15808225159069011,0.049004611108127726,0.08601066719659405,0.0706799
12,0.907991553038131,0.75,0.85349359802311,0.8761284001918475,0.8800857248549098,0.90930873
13,0.9936867908648643,1.0,0.9889071027929567,0.807936583770795,0.8130751091155304,0.9919206
14,0.3133901815707719,0.25,0.15702565426483733,0.3102079058249661,0.387030176251284,0.24747723
15,0.11595663176727056,0.125,0.1491980271226101,0.051246512814872115,0.08601066719659405,0.09419048
16,0.8024544161754763,1.0,0.8534662895468336,0.9896570500282482,0.9188145410209155,0.9835053
17,0.9275930452598609,0.75,0.8835580218916901,0.847437788950632,0.8978406759821651,0.90891325
18,0.4423903227120808,0.75,0.30395564816743076,0.8667848427663407,0.8059095101764091,0.8754472
19,0.20020065890006866,0.25,0.1626983787183475,0.24162492845372008,0.387030176251284,0.2262842
20,0.8572913012999979,0.625,0.8766595640669164,0.9380024277889547,0.8978406759821651,0.92443395
21,0.611150748217032,0.75,0.7607183601975444,0.8926039094613589,0.7739475738159218,0.36806887
22,0.3132420072297225,0.375,0.15700240167685628,0.39474258252665323,0.387030176251284,0.23221487
23,0.510677604552191,0.375,0.788471712191843,0.5794885368762105,0.7739475738159218,0.23917401
24,0.9035691258141447,1.0,0.8537385463186634,0.8771581942324046,0.8059095101764091,0.9083969
25,0.5245212080690069,0.5,0.6682262880854312,0.008240862405568289,0.12345183179393696,0.08558494
26,0.9041760383737424,0.875,0.8536226395240989,0.8954416100214468,0.8800857248549098,0.85925555
