,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
0,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.5 replace True,84.7,83.5,1.2,33,0.89,0.88,0.79,0.86,0.83,0.9,0.76,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
1,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.5 replace False,84.4,,,34,0.89,0.88,0.79,0.86,0.82,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
2,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.75 replace True,84.3,83.8,0.4,36,0.9,0.87,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
3,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.75 replace False,84.5,,,38,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
4,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.9 replace True,84.4,83.7,0.7,39,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
5,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.9 replace False,84.4,,,41,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
6,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.95 replace True,84.4,84.0,0.4,43,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
7,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.3 Feat 0.95 replace False,84.4,,,44,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.3, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
8,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.5 Feat 0.5 replace True,84.6,84.0,0.7,46,0.89,0.88,0.79,0.86,0.82,0.9,0.76,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
9,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.5 Feat 0.5 replace False,84.8,,,48,0.89,0.88,0.8,0.86,0.82,0.9,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
10,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.5 Feat 0.75 replace True,84.4,83.8,0.6,49,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
11,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,Bag 0.5 Feat 0.75 replace False,84.5,,,51,0.9,0.88,0.79,0.86,0.81,0.89,0.77,15,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__C': 1.0, 'base_estimator__class_weight': None, 'base_estimator__dual': False, 'base_estimator__fit_intercept': True, 'base_estimator__intercept_scaling': 1, 'base_estimator__l1_ratio': None, 'base_estimator__max_iter': 100, 'base_estimator__multi_class': 'warn', 'base_estimator__n_jobs': -1, 'base_estimator__penalty': 'l2', 'base_estimator__random_state': 50, 'base_estimator__solver': 'lbfgs', 'base_estimator__tol': 0.0001, 'base_estimator__verbose': 0, 'base_estimator__warm_start': False, 'base_estimator': LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='warn', n_jobs=-1, penalty='l2', random_state=50,
                   solver='lbfgs', tol=0.0001, verbose=0, warm_start=False), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
