,Log,KNN 8,SVM rbf,RF 7,ET 5,XGB
0,0.9315552733772805,1.0,0.9245348968222511,0.94135489772414,0.9448302503205978,0.97324795
1,0.22539392942264302,0.0,0.10867053031786708,0.02432745858634548,0.08601066719659406,0.027307391
2,0.22539392942264302,0.625,0.17789136923017548,0.47417939885163657,0.38703017625128394,0.21512759
3,0.4082652924271696,0.0,0.1524599387989171,0.017749003745967298,0.09213845083547925,0.040994048
4,0.5894130105363533,0.875,0.8088829801658335,0.9123252465805481,0.8023274356628001,0.913004
5,0.8155048467901274,1.0,0.848485818436672,0.9357665566699566,0.8741462300949309,0.9309932
6,0.8516328166550837,0.75,0.7912158792920744,0.8417046579994487,0.7739475738159217,0.9323431
7,0.8082084241121932,1.0,0.8497461513983879,0.9321155176008327,0.9188145410209155,0.9466802
8,0.12502911305652398,0.125,0.1858928940556323,0.05227727161039853,0.10533153104205731,0.028990984
9,0.4082652924271696,0.0,0.1399717602747583,0.05723604504348507,0.09213845083547925,0.03875357
10,0.06783504081296488,0.0,0.13906759995494766,0.0590054195226782,0.013005928853754942,0.002476871
11,0.22539392942264302,0.125,0.12345971107469751,0.1459311874111224,0.08601066719659406,0.06210184
12,0.8516328166550837,0.875,0.8501354583090984,0.8809655067888137,0.8800857248549095,0.8883179
13,0.9843146700869984,1.0,0.9851011208350703,0.9003457100905489,0.8130751091155304,0.98279625
14,0.22539392942264302,0.25,0.1708207812843802,0.29075642779998095,0.38703017625128394,0.27275783
15,0.22539392942264302,0.125,0.09660918915112084,0.049555925954129686,0.08601066719659406,0.067412674
16,0.8082084241121932,1.0,0.8497461513983879,0.9426027512453243,0.9188145410209155,0.98472315
17,0.9315552733772805,0.875,0.8692142439447055,0.8435230330161637,0.897840675982165,0.8785294
18,0.4082652924271696,0.75,0.398674419125939,0.6847234695786907,0.8059095101764091,0.918811
19,0.22539392942264302,0.25,0.16145923466488896,0.21670516351696203,0.38703017625128394,0.18814081
20,0.9315552733772805,1.0,0.8567273055454677,0.9029209946690444,0.897840675982165,0.9221062
21,0.8516328166550837,0.875,0.7907248892973253,0.5747767674366133,0.7739475738159217,0.2914961
22,0.22539392942264302,0.25,0.17135167976901997,0.30821293135870387,0.38703017625128394,0.21512759
23,0.8516328166550837,0.375,0.8442401632168806,0.4583147911178102,0.7739475738159217,0.35678953
24,0.8082084241121932,1.0,0.8510295000429966,0.9780011192863177,0.8059095101764091,0.9278185
25,0.4847258228011545,0.75,0.6337489992761426,0.12630758457229047,0.12345183179393696,0.057219744
26,0.8516328166550837,0.875,0.8535691033518704,0.8991299771269718,0.8800857248549095,0.81845427
27,0.9488677737923629,0.5,0.9425758495977132,0.6825798673861222,0.7461592949526143,0.8343664
28,0.22539392942264302,0.125,0.17389147494275511,0.24797042246823836,0.38703017625128394,0.27275783
29,0.8516328166550837,1.0,0.8537762119575205,0.9048394038652969,0.8800857248549095,0.94906574
30,0.8516328166550837,0.625,0.8493470030894236,0.7401817918115169,0.7739475738159217,0.7168078
31,0.06783504081296488,0.0,0.06417183505453103,0.0006042692939244663,0.00531917813023313,0.004248619
32,0.22539392942264302,0.125,0.17389147494275511,0.23064598324823088,0.38703017625128394,0.30245876
33,0.8516328166550837,0.875,0.8666443290535168,0.8805737055530115,0.7739475738159217,0.923847
34,0.7158283099017246,0.75,0.8461728937253167,0.7504431484367831,0.6646366310412879,0.9213682
35,0.5894130105363533,0.625,0.8460330854708937,0.8685871318977771,0.7134401961294567,0.90383524
36,0.8516328166550837,0.875,0.8535691033518704,0.900144922738782,0.8800857248549095,0.85146266
